CUSTOMER_PLACE_ORDER_DATETIME,PLACED_ORDER_WITH_RESTAURANT_DATETIME,DRIVER_AT_RESTAURANT_DATETIME,DELIVERED_TO_CUSTOMER_DATETIME,DRIVER_ID,RESTAURANT_ID,CUSTOMER_ID,DELIVERY_REGION,IS_ASAP,ORDER_TOTAL,DISCOUNT_AMOUNT,TIP_AMOUNT,REFUNDED_AMOUNT
9/14/2024 18:09:49,9/14/2024 18:09:50,9/14/2024 18:16:47,9/14/2024 18:25:38,21717225,11000,59603772,San Francisco,TRUE,$44.43,$0.00,$3.50,$0.00
9/14/2024 22:47:05,9/14/2024 22:47:05,9/14/2024 22:55:38,9/14/2024 22:59:17,29614391,11000,22172582,San Francisco,TRUE,$29.44,$0.00,$3.00,$0.00
9/14/2024 22:12:36,9/14/2024 22:12:37,9/14/2024 22:26:43,9/14/2024 22:46:44,32859852,11000,41782418,San Francisco,TRUE,$32.24,$0.00,$5.50,$0.00
9/15/2024 4:15:45,9/15/2024 4:15:45,9/15/2024 4:36:11,9/15/2024 5:02:46,36212735,11000,139593825,San Francisco,TRUE,$50.54,$3.99,$5.00,$0.00
9/15/2024 2:29:08,9/15/2024 2:29:08,9/15/2024 2:36:33,9/15/2024 2:57:10,36754432,11000,41645791,San Francisco,TRUE,$33.68,$0.00,$5.00,$0.00
9/14/2024 23:37:28,9/14/2024 23:37:28,9/14/2024 23:45:30,9/14/2024 23:57:05,30046251,11000,245959768,San Francisco,TRUE,$29.96,$0.00,$2.00,$0.00
9/14/2024 22:23:32,9/14/2024 22:23:33,9/14/2024 22:36:27,9/14/2024 22:46:47,36284415,11000,2548059,San Francisco,TRUE,$44.17,$0.00,$3.50,$0.00
9/15/2024 3:16:02,9/15/2024 3:16:03,9/15/2024 3:35:47,9/15/2024 4:12:49,31732553,11000,1159070111,San Francisco,TRUE,$34.42,$0.00,$3.00,$0.00
9/15/2024 3:54:40,9/15/2024 3:54:40,9/15/2024 4:01:46,9/15/2024 4:10:12,36037525,11000,756645807,San Francisco,TRUE,$41.58,$0.00,$3.50,$0.00
9/14/2024 21:43:19,9/14/2024 21:43:19,9/14/2024 21:54:26,9/14/2024 22:03:18,23213868,11000,3062385,San Francisco,TRUE,$32.04,$0.00,$3.00,$0.00
